"id","name","display_name","works_count"
"https://openalex.org/A5063620391","Afara Isaac","Isaac O. Afara",142
"https://openalex.org/A5027482380","Aalto-Setälä Katriina","Katriina Aalto‐Setälä",239
"https://openalex.org/A5039370243","Airas Laura","Laura Airas",196
"https://openalex.org/A5028725974","Aaltonen Lauri","Lauri A. Aaltonen",661
"https://openalex.org/A5023660858","Alitalo Kari","Kari Alitalo",1087
"https://openalex.org/A5037106945","Airavaara Mikko","Mikko Airavaara",127
"https://openalex.org/A5029422912","Auvinen Anssi","Anssi Auvinen",866
"https://openalex.org/A5016681267","Aittokallio Tero","Tero Aittokallio",644
"https://openalex.org/A5074407016","Belogurov Georgi","Georgiy A. Belogurov",54
"https://openalex.org/A5078073418","Ala-Korpela Mika","Mika Ala‐Korpela",486
"https://openalex.org/A5075486416","Brenner Charles","Charles Brenner",468
"https://openalex.org/A5073441975","Andressoo Jaan-Olle","Jaan‐Olle Andressoo",86
"https://openalex.org/A5030148031","Carpen Olli","Olli Carpén",459
"https://openalex.org/A5004624020","Ashorn Per","Per Ashorn",451
"https://openalex.org/A5091721438","Backman Janne","Klaus T. Olkkola",375
"https://openalex.org/A5035745920","Eklund Lauri","Lauri Eklund",123
"https://openalex.org/A5031840988","Barboric Matjaz","Matjaž Barborič",34
"https://openalex.org/A5075680116","Elenius Klaus","Klaus Elenius",205
"https://openalex.org/A5088342842","Boström Peter","Peter J. Boström",325
"https://openalex.org/A5062339398","Elo Laura","Laura L. Elo",297
"https://openalex.org/A5026617852","Butcher Sarah","Sarah J. Butcher",203
"https://openalex.org/A5035567894","Eriksson John","John Eriksson",301
"https://openalex.org/A5031533220","Cerullo Vincenzo","Vincenzo Cerullo",334
"https://openalex.org/A5019123072","Haapasalo-Tuomainen Karita","Karita Haapasalo",52
"https://openalex.org/A5023872545","Di-Poi Nicolas","Nicolas Di-Poı̈",60
"https://openalex.org/A5055369999","Haglund Caj","Caj Haglund",583
"https://openalex.org/A5040917201","Frilander Mikko","Mikko J. Frilander",91
"https://openalex.org/A5086660425","Haikala Heidi","Heidi M. Haikala",97
"https://openalex.org/A5073500794","Ganna Andrea","Andrea Ganna",307
"https://openalex.org/A5013185546","He Qiushui","Qiushui He",285
"https://openalex.org/A5016371743","Haapasalo Annakaisa","Annakaisa Haapasalo",179
"https://openalex.org/A5061939140","Heckman Caroline","Caroline A. Heckman",441
"https://openalex.org/A5014179994","Hallman Mikko","Mikko Hallman",489
"https://openalex.org/A5049874817","Haapalainen Antti","Antti M. Haapalainen",49
"https://openalex.org/A5018575502","Hietakangas Ville","Ville Hietakangas",89
"https://openalex.org/A5087860964","Mattila Jaakko","Jaakko Mattila",56
"https://openalex.org/A5073865560","Hautala Timo","Timo Hautala",87
"https://openalex.org/A5001037133","Huttunen Kristiina","Kristiina M. Huttunen",142
"https://openalex.org/A5033102814","Hautaniemi Sampsa","Sampsa Hautaniemi",515
"https://openalex.org/A5037038554","Hytönen Vesa","Vesa P. Hytönen",285
"https://openalex.org/A5082935308","Fagerholm Susanna","Susanna C. Fagerholm",79
"https://openalex.org/A5047697304","Heikinheimo Markku","Markku Heikinheimo",169
"https://openalex.org/A5051981975","Ivaska Johanna","Johanna Ivaska",247
"https://openalex.org/A5022292989","Heino Jyrki","Jyrki Heino",260
"https://openalex.org/A5004861283","Jacquemet Guillaume","Guillaume Jacquemet",210
"https://openalex.org/A5108897246","Heinäniemi Merja","Merja Heinäniemi",4
"https://openalex.org/A5001609102","Lohi Olli","Olli Lohi",225
"https://openalex.org/A5090618504","Joensuu Heikki","Heikki Joensuu",1123
"https://openalex.org/A5087981165","Hemminki Akseli","Kristina Sundquist",1101
"https://openalex.org/A5063237156","Jussi Posti","Jussi P. Posti",244
"https://openalex.org/A5082600086","Hiltunen Mikko","Mikko Hiltunen",289
"https://openalex.org/A5024591000","Järvinen Teppo","Teppo L. N. Järvinen",211
"https://openalex.org/A5040900470","Hirvonen Jussi","Jussi Hirvonen",278
"https://openalex.org/A5012600661","Kajantie Eero","Eero Kajantie",876
"https://openalex.org/A5054298399","Hovatta Iiris","Iiris Hovatta",213
"https://openalex.org/A5077610599","Kallijärvi Jukka","Jukka Kallijärvi",66
"https://openalex.org/A5074800971","Huiskonen Juha","Juha T. Huiskonen",179
"https://openalex.org/A5108833842","Koivunen Peppi","Peppi Koivunen",348
"https://openalex.org/A5030181854","Hyvärinen Kati","Kati Hyvärinen",107
"https://openalex.org/A5042034745","Ritari Jarmo","Jarmo Ritari",142
"https://openalex.org/A5012423760","Katajisto Pekka","Pekka Katajisto",88
"https://openalex.org/A5011722240","Hyöty Heikki","Heikki Hyöty",500
"https://openalex.org/A5000141478","Knip Mikael","Mikael Knip",1137
"https://openalex.org/A5068795367","Ikonen Elina","Elina Ikonen",290
"https://openalex.org/A5070430837","Koistinaho Jari","Jari Koıstınaho",400
