"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"Aalto-Setälä Katriina",39,863,0.0147272747899141,0.0622745388990519,1,"Kälviäinen Reetta","Kälviäinen Reetta, Carpen Olli, Hiltunen Mikko, Rinne Juha, Palotie Aarno, Schleutker Johanna, Junttila Juhani, Kaarniranta Kai, Mäkitie Antti, Tienari Pentti, Ganna Andrea, Hovatta Iiris, Joensuu Heikki, Skottman Heli, Pirinen Matti, Räsänen Esa, Silvennoinen Olli, Niiranen Teemu, Hallman Mikko, Otonkoski Timo, Laakso Markku, Taimen Pekka, Laitinen Kirsi, Varjosalo Markku, Kaikkonen-Määttä Minna, Kaukinen Katri, Lindfors Katri, Nykter Matti, Pörsti Ilkka, Yla Herttuala"
"Aaltonen Lauri",57,1086,0.040182886016743,0.282376356026357,2,"Kilpivaara Outi","Kilpivaara Outi, Schleutker Johanna, Ristimäki Ari, Visakorpi Tapio, Tammela Teuvo, Auvinen Anssi, Peltomäki Päivi, Hautaniemi Sampsa, Sahu Biswajyoti, Seppälä Toni, Palotie Aarno, Vähärautio Anna, Kere Juha, Alitalo Kari, Joensuu Heikki, Leppä Sirpa, Varjosalo Markku, Nykter Matti, Ojala Päivi, Katajisto Pekka, Koivunen Peppi, Mäkitie Antti, Kauppi Liisa, Wartiovaara Anu, Carpen Olli, Junttila Juhani, Haglund Caj, Hovatta Iiris, Myllyharju Johanna, Rautajoki Kirsi, Söderlund-Venermo Maria, Vapalahti Olli, Wei Gonghong, Heikinheimo Markku, Lappalainen Pekka, Piltonen Terhi"
"Afara Isaac",8,300,0.00896485275019899,6.69103132538163e-05,3,"Töyräs Juha","Töyräs Juha, Saarakkala Simo, Kainulainen Samu, Korhonen Rami, Yla Herttuala"
"Airas Laura",13,164,0.00157766283818816,0.00518546800105418,1,"Rinne Juha","Rinne Juha, Jalkanen Sirpa, Roivainen Anne, Salmi Marko, Saraste Antti, Skottman Heli, Lindsberg Perttu, Malm Tarja, Knip Mikael, Lahesmaa Riitta, Tienari Pentti"
"Airavaara Mikko",11,160,0.00924285162377408,0.00041476050569247,4,"Saarma Mart","Saarma Mart, Voutilainen Merja, Andressoo Jaan-Olle, Alitalo Kari, Lindsberg Perttu, Fagerholm Susanna, Myöhänen Timo, Palotie Aarno"
"Aittokallio Tero",55,2056,0.0120418001649688,0.242020857232281,5,"Kontro Mika","Heckman Caroline, Kontro Mika, Mustjoki Satu, Westermarck Jukka, Haglund Caj, Ristimäki Ari, Visakorpi Tapio, Elo Laura, Haikala Heidi, Lahesmaa Riitta, Hietakangas Ville, Meinander Annika, Poutanen Matti, Ketola Kirsi, Joensuu Heikki, Kakkola Laura, Lund Riikka, Pellinen Teijo, Vapalahti Olli, Carpen Olli, Kantele Anu, Ungureanu Daniela, Vähärautio Anna, Hautaniemi Sampsa, Otonkoski Timo, Pirinen Matti, Jalkanen Sirpa, Palotie Aarno, Hyöty Heikki, Knip Mikael, Elenius Klaus, Ojala Päivi, Sahu Biswajyoti, Yla Herttuala, Katajisto Pekka, Kere Juha, Heikinheimo Markku, Kerkelä Risto, Najumudeen Arafath"
"Ala-Korpela Mika",28,412,0.011294605271772,0.0092920187979833,1,"Tukiainen Taru","Laakso Markku, Palotie Aarno, Groop Per-Henrik, Tukiainen Taru, Pirinen Matti, Oksala Niku, Pietiläinen Kirsi, Kajantie Eero, Jalkanen Sirpa, Salmi Marko, Niiranen Teemu, Yki-Järvinen Hannele, Pussinen Pirkko, Koivunen Peppi, Luukkonen Panu, Butcher Sarah, Haapasalo Annakaisa, Hiltunen Mikko, Olkkonen Vesa, Virtanen Kirsi"
"Alitalo Kari",84,1312,0.0371607296673276,0.0451633442929647,6,"Yla Herttuala","Yla Herttuala, Saharinen Pipsa, Kivelä Riikka, Mäkinen Taija, Haglund Caj, Eklund Lauri, Varjosalo Markku, Ojala Päivi, Hautaniemi Sampsa, Sistonen Lea, Pihlajaniemi Taina, Joensuu Heikki, Palotie Aarno, Heckman Caroline, Elenius Klaus, Ristimäki Ari, Kerkelä Risto, Otonkoski Timo, Meri Seppo, Sironen Tarja, Vapalahti Olli, Taimen Pekka, Aaltonen Lauri, Silvennoinen Olli, Heikinheimo Markku, Ketola Kirsi, Pellinen Teijo, Tavi Pasi, Vaahtomeri Kari, Koistinaho Jari, Saarma Mart, Saraste Antti, Malm Tarja, Kere Juha, Lundin Johan, Pakarinen Mikko, Hietakangas Ville, Ivaska Johanna, Jacquemet Guillaume, Jalkanen Sirpa, Katajisto Pekka, Najumudeen Arafath, Airavaara Mikko, Andressoo Jaan-Olle, Koivunen Peppi, Lahesmaa Riitta, Mustjoki Satu, Myllyharju Johanna, Myöhänen Timo, Poutanen Matti, Voutilainen Merja, Vuoristo Sanna, Hiltunen Mikko, Izzi Valerio, Salmi Marko, Kaikkonen-Määttä Minna, Lehtonen Sanna, Mäkitie Antti, Olkkonen Vesa, Wartiovaara Anu"
"Andressoo Jaan-Olle",14,94,0.0173181391102718,0.000375755660417077,4,"Airavaara Mikko","Saarma Mart, Airavaara Mikko, Voutilainen Merja, Brenner Charles, Myöhänen Timo, Alitalo Kari, Otonkoski Timo, Urtti Arto, Katajisto Pekka, Rämet Mika, Varjosalo Markku"
"Ashorn Per",12,138,0.00312015064748507,0.00504806754018688,7,"Ashorn Per","Hallman Mikko, Hyöty Heikki, Pörsti Ilkka, Vanhatalo Sampsa, Knip Mikael, Kajantie Eero, Laitinen Kirsi, Söderlund-Venermo Maria"
"Autio Kaija",2,42,0,6.17679796382656e-08,7,"Kastaniotis Alexander","Kastaniotis Alexander"
"Auvinen Anssi",20,1610,0.000136148464664237,0.801514994187266,2,"Tammela Teuvo","Tammela Teuvo, Schleutker Johanna, Visakorpi Tapio, Tikkinen Kari, Aaltonen Lauri, Kilpivaara Outi, Ketola Kirsi, Lohi Olli, Wei Gonghong, Kakkola Laura, Järvinen Tero, Oksala Niku, Ruusuvuori Pekka, Nykter Matti"
"Backman Janne",8,50,0.000466592693562657,0.000481944077575223,2,"Saraste Antti","Seppälä Toni, Niemi Mikko, Saraste Antti, Jussi Posti, Pirinen Matti"
"Barboric Matjaz",3,8,0.000776337803483713,9.76722335550077e-05,5,"Haikala Heidi","Haikala Heidi, Butcher Sarah, Frilander Mikko"
"Belogurov Georgi",4,40,0,0,8,"Malinen Anssi","Malinen Anssi, Metsä-Ketelä Mikko"
"Boström Peter",24,596,0.00399056198666605,0.0442624572262229,5,"Taimen Pekka","Taimen Pekka, Ketola Kirsi, Elo Laura, Poutanen Matti, Eklund Lauri, Schleutker Johanna, Jalkanen Sirpa, Tammela Teuvo, Ivaska Johanna, Lundin Johan, Joensuu Heikki, Kähäri Veli-Matti, Wei Gonghong, Heino Jyrki, Rantakari Pia, Salmi Marko, Lund Riikka, Toppari Jorma"
"Brenner Charles",9,68,0,0.000445599004527206,1,"Pietiläinen Kirsi","Pietiläinen Kirsi, Groop Per-Henrik, Katajisto Pekka, Ollikainen Miina, Andressoo Jaan-Olle, Sajantila Antti, Wartiovaara Anu"
"Butcher Sarah",16,96,0.00944199051289951,0.000714865305298661,9,"Huiskonen Juha","Huiskonen Juha, Vapalahti Olli, Hytönen Vesa, Urtti Arto, Katajisto Pekka, Sironen Tarja, Cerullo Vincenzo, Yla Herttuala, Ala-Korpela Mika, Barboric Matjaz, Lappalainen Pekka, Varjosalo Markku"
