"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"Albert Szent-Györgyi",11,56,0.021622208205316,0.0143275491372552,1,"Carl Cori","Carl Cori, Edward A. Doisy, Edward Tatum, Frederick C. Robbins, George Beadle, Thomas H. Weller, Charles B. Huggins, Fritz Lipmann, Hans Krebs"
"Alfred G. Gilman",5,12,0.000388445054447048,0.0178359677371924,3,"Marshall W. Nirenberg","Marshall W. Nirenberg, Ferid Murad"
"Andrew Huxley",2,18,0,0,4,"Andrew Huxley",NA
"Andrew V. Schally",4,68,0,0.0613664476232415,3,"Andrew V. Schally","Roger Guillemin"
"Andrew Z. Fire",12,62,0.0197601074328036,0.0505568354171972,5,"Craig C. Mello","Phillip A. Sharp, Craig C. Mello, Gary Ruvkun, Marshall W. Nirenberg, H. Robert Horvitz, Victor Ambros, David Baltimore, John E. Sulston"
"André F. Cournand",2,16,0,0,6,"Dickinson W. Richards","Dickinson W. Richards"
"André Lwoff",5,22,0.0178345914637041,0.00580572022588997,7,"Jacques Monod","Jacques Monod, Renato Dulbecco, Francis Crick, David Baltimore"
"Archibald V. Hill",2,4,0.0284859706594502,2.78926284193121e-07,8,"Herbert S. Gasser","Herbert S. Gasser, Otto Meyerhof"
"Arthur Kornberg",26,498,0.0200659924986944,0.875998317761618,3,"David Baltimore","David Baltimore, Marshall W. Nirenberg, Daniel Nathans, Konrad Bloch, George E. Palade, Joshua Lederberg, Julius Axelrod, Baruj Benacerraf, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, Joseph L. Goldstein, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Severo Ochoa, H. Gobind Khorana, Randy W. Schekman, Francis Crick"
"Baruch S. Blumberg",2,4,0.00119166310592033,0.0000290809065812412,7,"Françoise Barré-Sinoussi","Françoise Barré-Sinoussi, Harvey Alter"
"Baruj Benacerraf",31,596,0.00180885913687509,0.894674595626587,10,"David Baltimore","David Baltimore, Joshua Lederberg, Susumu Tonegawa, Arthur Kornberg, Daniel Nathans, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Gerald M. Edelman, Joseph L. Goldstein, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Thomas H. Weller, Torsten N. Wiesel, Rolf M. Zinkernagel, Peter C. Doherty, César Milstein, Francis Crick, Karl Landsteiner, Niels K. Jerne, Peter Medawar, Rodney R. Porter, Jean Dausset"
"Bernardo Houssay",3,8,0.0286284005127475,3.18902188340106e-07,1,"Corneille Heymans","Corneille Heymans, Ulf von Euler, Edgar Adrian"
"Bert Sakmann",2,32,0,0.00170361743337307,7,"Erwin Neher","Erwin Neher"
"Carl Cori",10,196,0.0561282139974634,0.0158800954293925,1,"Gerty Cori","Gerty Cori, Albert Szent-Györgyi, Edward A. Doisy, Edward Tatum, Frederick C. Robbins, George Beadle, Thomas H. Weller, Severo Ochoa, Hans Krebs"
"Carol W. Greider",4,34,0,0.0000671790278277682,11,"Elizabeth H. Blackburn","Elizabeth H. Blackburn, Jack W. Szostak"
"Charles B. Huggins",3,12,0,0.000257055086471525,1,"Albert Szent-Györgyi","Albert Szent-Györgyi, Fritz Lipmann, Hans Krebs"
"Charles Rice",7,9,0.0353059868015003,0.00216627080147415,7,"Harvey Alter","Harvey Alter, Louis J. Ignarro, David Baltimore"
"Christiane Nüsslein-Volhard",2,10,0,0.0166842268150384,3,"Eric F. Wieschaus","Eric F. Wieschaus"
"Corneille Heymans",2,10,0,2.09497877934992e-09,1,"Ulf von Euler","Ulf von Euler, Bernardo Houssay"
"Craig C. Mello",6,32,0,0.00232254289533943,5,"Andrew Z. Fire","Andrew Z. Fire, Gary Ruvkun, H. Robert Horvitz, Victor Ambros"
"César Milstein",15,190,0.00759286765553679,0.153881372168862,10,"Francis Crick","Rolf M. Zinkernagel, Francis Crick, Niels K. Jerne, Baruj Benacerraf, David Baltimore, Gerald M. Edelman, Joshua Lederberg, Karl Landsteiner, Peter C. Doherty, Peter Medawar, Rodney R. Porter, Susumu Tonegawa, Sydney Brenner"
"D. Carleton Gajdusek",7,22,0.031440146680141,0.0151395377273734,7,"Luc Montagnier","Luc Montagnier, Stanley B. Prusiner, Françoise Barré-Sinoussi, Julius Axelrod, Marshall W. Nirenberg, David Baltimore"
"Daniel Bovet",2,4,0,0,12,"Ernst B. Chain","Ernst B. Chain"
"Daniel Nathans",21,454,0,0.826207230118714,3,"David Baltimore","David Baltimore, Arthur Kornberg, Konrad Bloch, Baruj Benacerraf, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Fritz Lipmann"
