"community","author","wdegree","primary_neighbors"
1,"Palotie Aarno",3493,"Pirinen Matti, Kälviäinen Reetta, Schleutker Johanna, Rinne Juha, Laakso Markku, Hiltunen Mikko, Aalto-Setälä Katriina, Ala-Korpela Mika, Ganna Andrea, Carpen Olli, Tukiainen Taru, Hallman Mikko, Tienari Pentti, Mäkitie Antti, Jalkanen Sirpa, Junttila Juhani, Salmi Marko, Aaltonen Lauri, Alitalo Kari, Turunen Joni, Niiranen Teemu, Groop Per-Henrik, Lehesjoki Anna-Elina, Kaarniranta Kai, Rämet Mika, Joensuu Heikki, Kere Juha, Pietiläinen Kirsi, Sandholm-Lafferre Niina, Hovatta Iiris, Kajantie Eero, Haapalainen Antti, Pihlajaniemi Taina, Ikonen Elina, Niemi Mikko, Heckman Caroline, Heikinheimo Markku, Ristimäki Ari, Wartiovaara Anu, Myllyharju Johanna, Ollikainen Miina, Kaukinen Katri, Kilpivaara Outi, Lindfors Katri, Aittokallio Tero, Hytönen Vesa, Jussi Posti, Latvala Antti, Oksala Niku, Ritari Jarmo, Koivunen Peppi, Leinonen Ville, Elenius Klaus, Nykter Matti, Putaala Jukka, Eklund Lauri, Kivelä Riikka, Meri Seppo, Ojala Tiina, Tammela Teuvo, Tyynismaa Henna, Visakorpi Tapio, Airavaara Mikko, Hautala Timo, Knip Mikael, Lindsberg Perttu, Ojala Päivi, Piltonen Terhi, Saarma Mart, Lehtonen Sanna"
1,"Hiltunen Mikko",2320,"Haapasalo Annakaisa, Leinonen Ville, Kälviäinen Reetta, Aalto-Setälä Katriina, Palotie Aarno, Rinne Juha, Carpen Olli, Kaarniranta Kai, Schleutker Johanna, Junttila Juhani, Hovatta Iiris, Laakso Markku, Ganna Andrea, Joensuu Heikki, Mäkitie Antti, Koistinaho Jari, Malm Tarja, Tienari Pentti, Yla Herttuala, Kanninen Katja, Niiranen Teemu, Pirinen Matti, Ollikainen Miina, Tavi Pasi, Ketola Kirsi, Tohka Jussi, Paakinaho Ville, Alitalo Kari, Huttunen Kristiina, Seppälä Toni, Ala-Korpela Mika, Kaikkonen-Määttä Minna, Nykter Matti"
1,"Rinne Juha",2090,"Kälviäinen Reetta, Palotie Aarno, Schleutker Johanna, Aalto-Setälä Katriina, Hiltunen Mikko, Airas Laura, Carpen Olli, Tienari Pentti, Leinonen Ville, Nummenmaa Lauri, Roivainen Anne, Hirvonen Jussi, Haapasalo Annakaisa, Junttila Juhani, Lund Riikka, Ollikainen Miina, Virtanen Kirsi, Koistinaho Jari, Elo Laura, Malm Tarja, Pirinen Matti, Kanninen Katja, Tavi Pasi, Pietiläinen Kirsi, Wartiovaara Anu, Niiranen Teemu, Kaarniranta Kai, Myllyharju Johanna, Turunen Joni, Hallman Mikko, Saraste Antti, Lindsberg Perttu, Jussi Posti, Lahesmaa Riitta, Latvala Antti, Hovatta Iiris, Saarma Mart, Tohka Jussi"
2,"Tammela Teuvo",4897,"Auvinen Anssi, Visakorpi Tapio, Schleutker Johanna, Nykter Matti, Tikkinen Kari, Aaltonen Lauri, Kilpivaara Outi, Ketola Kirsi, Wei Gonghong, Rautajoki Kirsi, Joensuu Heikki, Kakkola Laura, Ruusuvuori Pekka, Oksala Niku, Boström Peter, Sahu Biswajyoti, Järvinen Tero, Palotie Aarno, Hemminki Akseli, Lundin Johan"
2,"Visakorpi Tapio",3774,"Tammela Teuvo, Nykter Matti, Auvinen Anssi, Schleutker Johanna, Westermarck Jukka, Aaltonen Lauri, Aittokallio Tero, Haglund Caj, Ristimäki Ari, Kilpivaara Outi, Ruusuvuori Pekka, Ketola Kirsi, Sahu Biswajyoti, Rautajoki Kirsi, Kakkola Laura, Poutanen Matti, Heikinheimo Markku, Järvinen Tero, Seppälä Toni, Kotaja Noora, Lindfors Katri, Jalkanen Sirpa, Kontro Mika, Laakso Markku, Oksala Niku, Palotie Aarno, Ungureanu Daniela, Varjosalo Markku, Wei Gonghong, Elenius Klaus, Joensuu Heikki, Kaukinen Katri, Paakinaho Ville, Silvennoinen Olli, Hemminki Akseli"
2,"Schleutker Johanna",3291,"Tammela Teuvo, Auvinen Anssi, Visakorpi Tapio, Aaltonen Lauri, Palotie Aarno, Kilpivaara Outi, Kälviäinen Reetta, Rinne Juha, Carpen Olli, Aalto-Setälä Katriina, Hiltunen Mikko, Wei Gonghong, Junttila Juhani, Tienari Pentti, Nykter Matti, Niiranen Teemu, Pirinen Matti, Boström Peter, Taimen Pekka, Kere Juha, Ganna Andrea, Kaarniranta Kai, Myllyharju Johanna, Turunen Joni, Hallman Mikko, Kajantie Eero, Ketola Kirsi, Poutanen Matti, Mäkitie Antti, Hautaniemi Sampsa"
3,"Töyräs Juha",1442,"Afara Isaac, Saarakkala Simo, Korhonen Rami, Kainulainen Samu, Yla Herttuala, Kälviäinen Reetta"
3,"Korhonen Rami",1246,"Saarakkala Simo, Töyräs Juha, Afara Isaac, Tohka Jussi"
3,"Saarakkala Simo",951,"Korhonen Rami, Töyräs Juha, Afara Isaac, Pihlajaniemi Taina, Izzi Valerio, Heino Jyrki, Rosenholm Jessica"
4,"Jalkanen Sirpa",2748,"Salmi Marko, Rantakari Pia, Roivainen Anne, Joensuu Heikki, Saraste Antti, Li Xiang-Guo, Airas Laura, Palotie Aarno, Koivunen Jussi, Taimen Pekka, Niiranen Teemu, Haglund Caj, Rosenholm Jessica, Boström Peter, Ala-Korpela Mika, Laakso Markku, Yla Herttuala, Ivaska Johanna, Ketola Kirsi, Elo Laura, Eriksson John, Aittokallio Tero, Hautaniemi Sampsa, Alitalo Kari, Lahesmaa Riitta, Tukiainen Taru, Pirinen Matti, Hallman Mikko, Heikinheimo Markku, Kantele Anu, Knip Mikael, Kontro Mika, Lindsberg Perttu, Visakorpi Tapio, Elenius Klaus, Jacquemet Guillaume, Kaarniranta Kai"
4,"Salmi Marko",2182,"Jalkanen Sirpa, Rantakari Pia, Joensuu Heikki, Ivaska Johanna, Palotie Aarno, Niiranen Teemu, Haglund Caj, Roivainen Anne, Airas Laura, Hautaniemi Sampsa, Li Xiang-Guo, Saraste Antti, Ala-Korpela Mika, Laakso Markku, Mustjoki Satu, Jacquemet Guillaume, Kotaja Noora, Pellinen Teijo, Tukiainen Taru, Pirinen Matti, Alitalo Kari, Boström Peter, Hallman Mikko, Kantele Anu, Knip Mikael, Kontro Mika, Toppari Jorma, Vattulainen Ilpo, Yla Herttuala, He Qiushui"
4,"Roivainen Anne",1763,"Saraste Antti, Li Xiang-Guo, Jalkanen Sirpa, Yla Herttuala, Kaikkonen-Määttä Minna, Rinne Juha, Hirvonen Jussi, Airas Laura, Salmi Marko, Taimen Pekka, Nummenmaa Lauri, Rosenholm Jessica, Virtanen Kirsi, Kaukinen Katri, Lindfors Katri, Wartiovaara Anu, Olkkonen Vesa, Poutanen Matti, Hovatta Iiris, Ruusuvuori Pekka, Sajantila Antti, Tyynismaa Henna, Elo Laura, Heinäniemi Merja, Hemminki Akseli, Ivaska Johanna, Westermarck Jukka, Heino Jyrki, Laitinen Kirsi, Mäkitie Outi, Huttunen Kristiina"
5,"Saarma Mart",627,"Airavaara Mikko, Voutilainen Merja, Andressoo Jaan-Olle, Kaila Kai, Kallijärvi Jukka, Varjosalo Markku, Alitalo Kari, Urtti Arto, Shulga Anastasia, Vattulainen Ilpo, Huiskonen Juha, Otonkoski Timo, Lehesjoki Anna-Elina, Myöhänen Timo, Hietakangas Ville, Kere Juha, Knip Mikael, Haapasalo Annakaisa, Meri Seppo, Palotie Aarno, Rinne Juha, Vanhatalo Sampsa, Lehtonen Sanna"
5,"Palva Matias",572,"Palva Satu, Vanhatalo Sampsa, Kaila Kai, Renvall Hanna, Huiskonen Juha"
5,"Palva Satu",456,"Palva Matias, Kaila Kai, Renvall Hanna"
6,"Aittokallio Tero",4097,"Heckman Caroline, Kontro Mika, Mustjoki Satu, Westermarck Jukka, Haglund Caj, Ristimäki Ari, Visakorpi Tapio, Elo Laura, Haikala Heidi, Lahesmaa Riitta, Hietakangas Ville, Meinander Annika, Poutanen Matti, Joensuu Heikki, Ketola Kirsi, Kakkola Laura, Lund Riikka, Pellinen Teijo, Vapalahti Olli, Carpen Olli, Kantele Anu, Ungureanu Daniela, Vähärautio Anna, Hautaniemi Sampsa, Otonkoski Timo, Pirinen Matti, Jalkanen Sirpa, Palotie Aarno, Hyöty Heikki, Knip Mikael, Elenius Klaus, Ojala Päivi, Sahu Biswajyoti, Yla Herttuala, Katajisto Pekka, Kere Juha, Kerkelä Risto, Najumudeen Arafath, Heikinheimo Markku"
6,"Ristimäki Ari",3973,"Haglund Caj, Leppä Sirpa, Ojala Päivi, Westermarck Jukka, Aaltonen Lauri, Aittokallio Tero, Visakorpi Tapio, Carpen Olli, Hemminki Akseli, Kilpivaara Outi, Joensuu Heikki, Peltomäki Päivi, Seppälä Toni, Hautaniemi Sampsa, Lundin Johan, Katajisto Pekka, Sahu Biswajyoti, Cerullo Vincenzo, Alitalo Kari, Ketola Kirsi, Saharinen Pipsa, Vähärautio Anna, Heckman Caroline, Heikinheimo Markku, Palotie Aarno, Varjosalo Markku, Pietiläinen Kirsi, Kontro Mika, Vaahtomeri Kari, Wartiovaara-Kautto Ulla, Hietakangas Ville, Najumudeen Arafath, Elenius Klaus, Elo Laura, Lahesmaa Riitta, Nykter Matti, Ilonen Ilkka, Mäkitie Antti, Wei Gonghong, Koivunen Jussi, Lindsberg Perttu, Mäkinen Taija, Turunen Joni"
6,"Haglund Caj",3681,"Ristimäki Ari, Ojala Päivi, Leppä Sirpa, Westermarck Jukka, Mäkitie Antti, Carpen Olli, Aittokallio Tero, Visakorpi Tapio, Lundin Johan, Alitalo Kari, Ikonen Elina, Joensuu Heikki, Jalkanen Sirpa, Salmi Marko, Hautaniemi Sampsa, Lehtonen Sanna, Söderlund-Venermo Maria, Kere Juha, Pellinen Teijo, Kivelä Riikka, Saharinen Pipsa, Katajisto Pekka, Mäkinen Taija, Peltomäki Päivi, Elo Laura, Lahesmaa Riitta, Pakarinen Mikko, Varjosalo Markku, Aaltonen Lauri, Kilpivaara Outi, Ilonen Ilkka, Laakso Markku, Oksala Niku, Olkkonen Vesa, Heikinheimo Markku"
