"community","author","wdegree","primary_neighbors"
1,"Carl Cori",196,"Gerty Cori, Albert Szent-Györgyi, Edward A. Doisy, Edward Tatum, Frederick C. Robbins, George Beadle, Thomas H. Weller, Severo Ochoa, Hans Krebs"
1,"Gerty Cori",152,"Carl Cori, Severo Ochoa"
1,"Edward A. Doisy",114,"Albert Szent-Györgyi, Carl Cori, Edward Tatum, Frederick C. Robbins, George Beadle, Thomas H. Weller"
2,"Hermann J. Muller",6,NA
3,"Thomas H. Weller",520,"Frederick C. Robbins, John F. Enders, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Torsten N. Wiesel, Albert Szent-Györgyi, Carl Cori, Edward A. Doisy, Edward Tatum, George Beadle"
3,"Roger Guillemin",516,"Andrew V. Schally, Ferid Murad, Susumu Tonegawa, Edmond H. Fischer, David H. Hubel, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, Edwin G. Krebs, Eric F. Wieschaus, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Thomas H. Weller, Torsten N. Wiesel, Paul Greengard, Richard J. Roberts, Eric Kandel, Renato Dulbecco, Erwin Neher"
3,"Edmond H. Fischer",508,"Edwin G. Krebs, Roger Guillemin, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Erwin Neher, Paul Greengard, Richard J. Roberts"
4,"Andrew Huxley",18,NA
5,"Andrew Z. Fire",62,"Phillip A. Sharp, Craig C. Mello, Gary Ruvkun, Marshall W. Nirenberg, H. Robert Horvitz, Victor Ambros, David Baltimore, John E. Sulston"
5,"H. Robert Horvitz",50,"John E. Sulston, Victor Ambros, Gary Ruvkun, Sydney Brenner, Andrew Z. Fire, Craig C. Mello"
5,"Stanley Cohen",38,"Phillip A. Sharp, David Baltimore, Peter C. Doherty, Susumu Tonegawa, Shinya Yamanaka, Mario R. Capecchi, Sir John B. Gurdon"
6,"André F. Cournand",16,"Dickinson W. Richards"
6,"Dickinson W. Richards",16,"André F. Cournand"
7,"Richard J. Roberts",73,"Paul Greengard, Roger Guillemin, Eric Kandel, Ferid Murad, Renato Dulbecco, Susumu Tonegawa, Edmond H. Fischer, Erwin Neher, Harold E. Varmus, Phillip A. Sharp, Sydney Brenner, Sir John B. Gurdon"
7,"Françoise Barré-Sinoussi",69,"Luc Montagnier, D. Carleton Gajdusek, Günter Blobel, Thomas C. Südhof, Torsten N. Wiesel, Baruch S. Blumberg, Harold E. Varmus"
7,"Luc Montagnier",68,"Françoise Barré-Sinoussi, D. Carleton Gajdusek, Howard M. Temin, David Baltimore, Renato Dulbecco"
8,"Herbert S. Gasser",82,"Joseph Erlanger, Archibald V. Hill"
8,"Joseph Erlanger",80,"Herbert S. Gasser"
8,"Archibald V. Hill",4,"Herbert S. Gasser, Otto Meyerhof"
10,"David Baltimore",687,"Joshua Lederberg, Phillip A. Sharp, Susumu Tonegawa, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, Konrad Bloch, Marshall W. Nirenberg, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Julius Axelrod, Robert F. Furchgott, Roger Guillemin, Thomas H. Weller, Torsten N. Wiesel, Peter C. Doherty, Gerald M. Edelman, César Milstein, Francis Crick, Karl Landsteiner, Niels K. Jerne, Peter Medawar, Rodney R. Porter, Rolf M. Zinkernagel, Stanley Cohen, Howard M. Temin, Victor Ambros, Harold E. Varmus, Andrew Z. Fire, André Lwoff, D. Carleton Gajdusek, Erwin Neher, Gary Ruvkun, Luc Montagnier, Michael Rosbash, Renato Dulbecco, Charles Rice"
10,"Susumu Tonegawa",638,"David Baltimore, Baruj Benacerraf, Joshua Lederberg, Ferid Murad, Roger Guillemin, Arthur Kornberg, Daniel Nathans, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, George E. Palade, Joseph L. Goldstein, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Thomas H. Weller, Torsten N. Wiesel, Rolf M. Zinkernagel, Peter C. Doherty, César Milstein, Francis Crick, Gerald M. Edelman, Karl Landsteiner, Niels K. Jerne, Peter Medawar, Rodney R. Porter, Eric Kandel, Renato Dulbecco, Paul Greengard, Richard J. Roberts, Stanley Cohen"
10,"Joshua Lederberg",624,"David Baltimore, Baruj Benacerraf, Susumu Tonegawa, Arthur Kornberg, George E. Palade, Julius Axelrod, Marshall W. Nirenberg, Daniel Nathans, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, Joseph L. Goldstein, Konrad Bloch, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Thomas H. Weller, Torsten N. Wiesel, Gerald M. Edelman, Niels K. Jerne, César Milstein, Francis Crick, Karl Landsteiner, Peter C. Doherty, Peter Medawar, Rodney R. Porter, Rolf M. Zinkernagel, Edward Tatum, Salvador E. Luria, Fritz Lipmann"
11,"Elizabeth H. Blackburn",38,"Carol W. Greider, Jack W. Szostak"
11,"Carol W. Greider",34,"Elizabeth H. Blackburn, Jack W. Szostak"
11,"Jack W. Szostak",26,"Elizabeth H. Blackburn, Carol W. Greider, Gary Ruvkun, Michael Rosbash, Phillip A. Sharp"
12,"Daniel Bovet",4,"Ernst B. Chain"
12,"Ernst B. Chain",4,"Daniel Bovet"
13,"David Julius",12,"John Macleod"
13,"John Macleod",12,"David Julius"
14,"Drew Weissman",2,"Torsten N. Wiesel, William Kaelin"
